success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,view_history,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,stimulus_displayed,question_order
TRUE,fullscreen,0,104110,0.0-0.0,SS1651680208732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,survey-text,1,126564,0.0-1.0,SS1651680208732,22449.700000000186,"{""p_id"":""6130c6f2f70b6f67907d589d""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,instructions,2,130235,0.0-2.0-0.0,SS1651680208732,3665.5,NA,"[{""page_index"":0,""viewing_time"":3664.9000000003725}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,instructions,3,156573,0.0-2.0-1.0,SS1651680208732,24325.599999999627,NA,"[{""page_index"":0,""viewing_time"":14985.199999999255},{""page_index"":1,""viewing_time"":9340.200000000186}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stimuli-presentation,4,162840,0.0-2.0-2.0,SS1651680208732,5762.399999999441,NA,NA,NA,NA,40,500,6262.399999999441,null,null,self_paced,0,NA,NA,NA
NA,stimuli-presentation,5,169584,0.0-2.0-3.0,SS1651680208732,6238.200000000186,NA,NA,NA,NA,40,500,6738.200000000186,null,null,self_paced,0,NA,NA,NA
NA,instructions,6,173019,0.0-2.0-4.0,SS1651680208732,3433.100000000559,NA,"[{""page_index"":0,""viewing_time"":3432.800000000745}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,instructions,7,196159,0.0-2.0-5.0,SS1651680208732,23138.099999999627,NA,"[{""page_index"":0,""viewing_time"":14866.5},{""page_index"":1,""viewing_time"":4894.5999999996275},{""page_index"":2,""viewing_time"":1696},{""page_index"":3,""viewing_time"":1680.800000000745}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,html-keyboard-response,8,197097,0.0-2.0-6.0-0.0,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,9,205427,0.0-2.0-6.0-1.0,SS1651680208732,7826.100000000559,NA,NA,trial,NA,40,500,8326.100000000559,null,null,self_paced,0,NA,images/stimuli/simple_04_A_a.gif,NA
NA,html-keyboard-response,10,206400,0.0-2.0-6.0-0.1,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,11,211418,0.0-2.0-6.0-1.1,SS1651680208732,4515.799999999814,NA,NA,trial,NA,40,500,5015.799999999814,null,null,self_paced,0,NA,images/stimuli/simple_09_A_a.gif,NA
NA,html-keyboard-response,12,212530,0.0-2.0-6.0-0.2,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,13,217310,0.0-2.0-6.0-1.2,SS1651680208732,4262.799999999814,NA,NA,trial,NA,40,500,4762.799999999814,null,null,self_paced,0,NA,images/stimuli/complex_05_A_a.gif,NA
NA,html-keyboard-response,14,218411,0.0-2.0-6.0-0.3,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,15,222404,0.0-2.0-6.0-1.3,SS1651680208732,3487.600000000559,NA,NA,trial,NA,40,500,3987.600000000559,null,null,self_paced,0,NA,images/stimuli/complex_19_A_a.gif,NA
NA,html-keyboard-response,16,223227,0.0-2.0-6.0-0.4,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,17,226831,0.0-2.0-6.0-1.4,SS1651680208732,3086.0999999996275,NA,NA,trial,NA,40,500,3586.0999999996275,null,null,self_paced,0,NA,images/stimuli/complex_10_A_a.gif,NA
NA,html-keyboard-response,18,227742,0.0-2.0-6.0-0.5,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,19,230216,0.0-2.0-6.0-1.5,SS1651680208732,1969.2000000001863,NA,NA,trial,NA,40,500,2469.2000000001863,null,null,self_paced,0,NA,images/stimuli/simple_07_A_a.gif,NA
NA,html-keyboard-response,20,231178,0.0-2.0-6.0-0.6,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,21,239698,0.0-2.0-6.0-1.6,SS1651680208732,8000.5,NA,NA,trial,NA,40,500,8500.5,null,null,self_paced,0,NA,images/stimuli/complex_06_A_a.gif,NA
NA,html-keyboard-response,22,240802,0.0-2.0-6.0-0.7,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,23,244244,0.0-2.0-6.0-1.7,SS1651680208732,2936.5999999996275,NA,NA,trial,NA,40,500,3436.5999999996275,null,null,self_paced,0,NA,images/stimuli/simple_06_A_a.gif,NA
NA,html-keyboard-response,24,245385,0.0-2.0-6.0-0.8,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,25,248709,0.0-2.0-6.0-1.8,SS1651680208732,2822.399999999441,NA,NA,trial,NA,40,500,3322.399999999441,null,null,self_paced,0,NA,images/stimuli/complex_13_A_a.gif,NA
NA,html-keyboard-response,26,249763,0.0-2.0-6.0-0.9,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,27,253294,0.0-2.0-6.0-1.9,SS1651680208732,3015.9000000003725,NA,NA,trial,NA,40,500,3515.9000000003725,null,null,self_paced,0,NA,images/stimuli/complex_17_A_a.gif,NA
NA,html-keyboard-response,28,254294,0.0-2.0-6.0-0.10,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,29,258440,0.0-2.0-6.0-1.10,SS1651680208732,3639.7000000001863,NA,NA,trial,NA,40,500,4139.700000000186,null,null,self_paced,0,NA,images/stimuli/complex_03_A_a.gif,NA
NA,html-keyboard-response,30,259561,0.0-2.0-6.0-0.11,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,31,265820,0.0-2.0-6.0-1.11,SS1651680208732,5754.5,NA,NA,trial,NA,40,500,6254.5,null,null,self_paced,0,NA,images/stimuli/complex_11_A_a.gif,NA
NA,html-keyboard-response,32,266674,0.0-2.0-6.0-0.12,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,33,270464,0.0-2.0-6.0-1.12,SS1651680208732,3283.7999999998137,NA,NA,trial,NA,40,500,3783.7999999998137,null,null,self_paced,0,NA,images/stimuli/simple_01_A_a.gif,NA
NA,html-keyboard-response,34,271305,0.0-2.0-6.0-0.13,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,35,274498,0.0-2.0-6.0-1.13,SS1651680208732,2688.2999999998137,NA,NA,trial,NA,40,500,3188.2999999998137,null,null,self_paced,0,NA,images/stimuli/simple_17_A_a.gif,NA
NA,html-keyboard-response,36,275314,0.0-2.0-6.0-0.14,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,37,279003,0.0-2.0-6.0-1.14,SS1651680208732,3178,NA,NA,trial,NA,40,500,3678,null,null,self_paced,0,NA,images/stimuli/simple_12_A_a.gif,NA
NA,html-keyboard-response,38,280279,0.0-2.0-6.0-0.15,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,39,283663,0.0-2.0-6.0-1.15,SS1651680208732,2878,NA,NA,trial,NA,40,500,3378,null,null,self_paced,0,NA,images/stimuli/complex_01_A_a.gif,NA
NA,html-keyboard-response,40,284922,0.0-2.0-6.0-0.16,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,41,288138,0.0-2.0-6.0-1.16,SS1651680208732,2697,NA,NA,trial,NA,40,500,3197,null,null,self_paced,0,NA,images/stimuli/complex_09_A_a.gif,NA
NA,html-keyboard-response,42,289165,0.0-2.0-6.0-0.17,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,43,293890,0.0-2.0-6.0-1.17,SS1651680208732,4209.299999999814,NA,NA,trial,NA,40,500,4709.299999999814,null,null,self_paced,0,NA,images/stimuli/simple_16_A_a.gif,NA
NA,html-keyboard-response,44,294900,0.0-2.0-6.0-0.18,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,45,299134,0.0-2.0-6.0-1.18,SS1651680208732,3719.600000000559,NA,NA,trial,NA,40,500,4219.600000000559,null,null,self_paced,0,NA,images/stimuli/simple_03_A_a.gif,NA
NA,html-keyboard-response,46,300089,0.0-2.0-6.0-0.19,SS1651680208732,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,47,304500,0.0-2.0-6.0-1.19,SS1651680208732,3900.7999999998137,NA,NA,trial,NA,40,500,4400.799999999814,null,null,self_paced,0,NA,images/stimuli/simple_10_A_a.gif,NA
NA,instructions,48,308201,0.0-2.0-7.0,SS1651680208732,3697.399999999441,NA,"[{""page_index"":0,""viewing_time"":3697.2000000001863}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,survey-likert,49,317819,0.0-2.0-8.0-0.0,SS1651680208732,9614.200000000186,"{""Q0"":4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_19_A_a.gif,NA,[0]
NA,survey-likert,50,326007,0.0-2.0-8.0-0.1,SS1651680208732,8181.0999999996275,"{""Q0"":2}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_09_A_a.gif,NA,[0]
NA,survey-likert,51,332723,0.0-2.0-8.0-0.2,SS1651680208732,6709.4000000003725,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_05_A_a.gif,NA,[0]
NA,survey-likert,52,337739,0.0-2.0-8.0-0.3,SS1651680208732,5009.899999999441,"{""Q0"":0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_03_A_a.gif,NA,[0]
NA,survey-likert,53,341231,0.0-2.0-8.0-0.4,SS1651680208732,3485.7999999998137,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_12_A_a.gif,NA,[0]
NA,survey-likert,54,346659,0.0-2.0-8.0-0.5,SS1651680208732,5423.0999999996275,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_17_A_a.gif,NA,[0]
NA,survey-likert,55,349783,0.0-2.0-8.0-0.6,SS1651680208732,3115.199999999255,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_06_A_a.gif,NA,[0]
NA,survey-likert,56,353453,0.0-2.0-8.0-0.7,SS1651680208732,3664.199999999255,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_03_A_a.gif,NA,[0]
NA,survey-likert,57,355917,0.0-2.0-8.0-0.8,SS1651680208732,2457.5999999996275,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_04_A_a.gif,NA,[0]
NA,survey-likert,58,362531,0.0-2.0-8.0-0.9,SS1651680208732,6606.700000000186,"{""Q0"":0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_11_A_a.gif,NA,[0]
NA,survey-likert,59,364683,0.0-2.0-8.0-0.10,SS1651680208732,2145.2000000001863,"{""Q0"":0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_10_A_a.gif,NA,[0]
NA,survey-likert,60,368534,0.0-2.0-8.0-0.11,SS1651680208732,3845.5,"{""Q0"":4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_01_A_a.gif,NA,[0]
NA,survey-likert,61,373814,0.0-2.0-8.0-0.12,SS1651680208732,5272.5999999996275,"{""Q0"":3}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_17_A_a.gif,NA,[0]
