success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,stimulus,key_press,view_history,stimulus_type,subject_num,block_number,stimulus_displayed,violation_type,species,fam_duration,response,question_order
TRUE,fullscreen,0,2303,0.0-0.0,SS1692710479221,,,,,,,,,,,,,,
,survey-text,1,14757,0.0-1.0,SS1692710479221,12449.2,"{""Age"":""246"",""Gender"":""F""}",,,,,,,,,,,,
,audio-keyboard-response,2,21845,0.0-2.0,SS1692710479221,7086.3,,stimuli/audio/music_intro.wav,39,,,,,,,,,,
,html-keyboard-response,3,24334,0.0-3.0,SS1692710479221,2487.2,,<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,4,106959,0.0-4.0,SS1692710479221,82624.3,,<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,5,119596,0.0-5.0,SS1692710479221,12636.7,,<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,6,128324,0.0-6.0,SS1692710479221,8726.7,,<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,7,135324,0.0-7.0,SS1692710479221,6999.2,,<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,8,144638,0.0-8.0,SS1692710479221,9311.7,,<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,9,161880,0.0-9.0,SS1692710479221,17242.4,,<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,instructions,10,211405,0.0-10.0,SS1692710479221,49523.2,,,,"[{""page_index"":0,""viewing_time"":49522}]",,,,,,,,,
,video-keyboard-response,11,229619,0.0-11.0,SS1692710479221,null,,"[""stimuli/images/calibration.mp4""]",null,,calibration,,,,,,,,
,video-keyboard-response,12,234250,0.0-12.0,SS1692710479221,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,
,video-keyboard-response,13,312852,0.0-13.0,SS1692710479221,78600.1,,"[""stimuli/images/unity_stims/fam8/identity/animate_02_8fam_identity_new.mp4""]",39,,trial,31,1,stimuli/images/unity_stims/fam8/identity/animate_02_8fam_identity_new.mp4,identity,2,8,,
,html-keyboard-response,14,314144,0.0-14.0,SS1692710479221,1291.9,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",39,,between_block,,,,,,,,
,video-keyboard-response,15,318800,0.0-15.0,SS1692710479221,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,
,video-keyboard-response,16,382192,0.0-16.0,SS1692710479221,63391.5,,"[""stimuli/images/unity_stims/fam9/pose/animate_06_9fam_pose_new.mp4""]",39,,trial,31,2,stimuli/images/unity_stims/fam9/pose/animate_06_9fam_pose_new.mp4,pose,6,9,,
,html-keyboard-response,17,383369,0.0-17.0,SS1692710479221,1176.6,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",39,,between_block,,,,,,,,
,video-keyboard-response,18,388000,0.0-18.0,SS1692710479221,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,
,video-keyboard-response,19,440108,0.0-19.0,SS1692710479221,52105,,"[""stimuli/images/unity_stims/fam8/background/animate_04_8fam_background_new.mp4""]",39,,trial,31,3,stimuli/images/unity_stims/fam8/background/animate_04_8fam_background_new.mp4,background,4,8,,
,html-keyboard-response,20,441426,0.0-20.0,SS1692710479221,1317.4,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",39,,between_block,,,,,,,,
,video-keyboard-response,21,446056,0.0-21.0,SS1692710479221,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,
,video-keyboard-response,22,538739,0.0-22.0,SS1692710479221,92679.8,,"[""stimuli/images/unity_stims/fam9/animacy/animate_03_9fam_animacy_new.mp4""]",39,,trial,31,4,stimuli/images/unity_stims/fam9/animacy/animate_03_9fam_animacy_new.mp4,animacy,3,9,,
,video-keyboard-response,23,561886,0.0-23.0,SS1692710479221,null,,"[""stimuli/images/calibration_end.mp4""]",null,,calibration_end,,,,,,,,
,html-keyboard-response,24,578986,0.0-24.0,SS1692710479221,17098.4,,"<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300; background-color: white; padding-right: 63.61px; padding-left: 63.61px; padding-bottom: 306.84px; padding-top: 306.84px; ""> That's it! Thank you so much for your participation! </span></p>",39,,,,,,,,,,
,survey-multi-choice,25,612042,0.0-25.0,SS1692710479221,33052.7,,,,,,,,,,,,"{""Consent"":""<b>Option 2 (Scientific and Educational)</b>: You would like to share child’s data with other researchers or students for scientific or educational purposes. </h1>""}",0
