"","experiment","fam_or_test","subject_num","block_num","test_type","fam_duration","LT","exclude","age","sex"
"1","A","test",1,1,"fam","0",25.38,FALSE,312,"F"
"2","A","test",1,3,"fam","0",12.484,FALSE,312,"F"
"3","A","fam",1,2,"fam","4",19.999,FALSE,312,"F"
"4","A","test",1,2,"fam","4",36.593,FALSE,312,"F"
"5","A","fam",1,4,"nov","4",19.999,FALSE,312,"F"
"6","A","test",1,4,"nov","4",9.134,FALSE,312,"F"
"7","A","fam",1,5,"nov","8",23.953,FALSE,312,"F"
"8","A","test",1,5,"nov","8",5.764,FALSE,312,"F"
"9","A","fam",1,6,"fam","8",22.733,TRUE,312,"F"
"10","A","test",1,6,"fam","8",0.05,TRUE,312,"F"
"11","A","test",2,3,"fam","0",7.95599999999999,FALSE,316,"F"
"12","A","test",2,5,"fam","0",4.721,FALSE,316,"F"
"13","A","fam",2,1,"fam","4",18.68,FALSE,316,"F"
"14","A","test",2,1,"fam","4",32.633,FALSE,316,"F"
"15","A","fam",2,2,"nov","4",17.204,FALSE,316,"F"
"16","A","test",2,2,"nov","4",35.209,FALSE,316,"F"
"17","A","fam",2,4,"fam","8",21.638,TRUE,316,"F"
"18","A","test",2,4,"fam","8",4.568,FALSE,316,"F"
"19","A","fam",2,6,"nov","8",28.233,TRUE,316,"F"
"20","A","test",2,6,"nov","8",7.99,TRUE,316,"F"
"21","A","test",3,5,"fam","0",5.477,FALSE,316,"F"
"22","A","test",3,6,"fam","0",7.87699999999999,FALSE,316,"F"
"23","A","fam",3,1,"nov","4",19.96,FALSE,316,"F"
"24","A","test",3,1,"nov","4",16.103,FALSE,316,"F"
"25","A","fam",3,3,"fam","4",19.362,FALSE,316,"F"
"26","A","test",3,3,"fam","4",6.689,FALSE,316,"F"
"27","A","fam",3,2,"fam","8",38.804,FALSE,316,"F"
"28","A","test",3,2,"fam","8",7.082,TRUE,316,"F"
"29","A","fam",3,4,"nov","8",29.71,FALSE,316,"F"
"30","A","test",3,4,"nov","8",11.787,FALSE,316,"F"
"31","A","test",5,2,"fam","0",58.006,FALSE,275," M"
"32","A","test",5,4,"fam","0",8.905,FALSE,275," M"
"33","A","fam",5,5,"nov","4",17.164,FALSE,275," M"
"34","A","test",5,5,"nov","4",15.691,FALSE,275," M"
"35","A","fam",5,6,"fam","4",11.13,FALSE,275," M"
"36","A","test",5,6,"fam","4",3.805,FALSE,275," M"
"37","A","fam",5,1,"nov","8",39.999,FALSE,275," M"
"38","A","test",5,1,"nov","8",58.801,FALSE,275," M"
"39","A","fam",5,3,"fam","8",39.12,FALSE,275," M"
"40","A","test",5,3,"fam","8",11.123,FALSE,275," M"
"41","A","test",6,2,"fam","0",23.318,FALSE,275,"F"
"42","A","test",6,4,"fam","0",8.033,FALSE,275,"F"
"43","A","fam",6,5,"nov","4",3.441,TRUE,275,"F"
"44","A","test",6,5,"nov","4",0,TRUE,275,"F"
"45","A","fam",6,6,"fam","4",6.74,TRUE,275,"F"
"46","A","test",6,6,"fam","4",1.283,TRUE,275,"F"
"47","A","fam",6,1,"nov","8",35.249,FALSE,275,"F"
"48","A","test",6,1,"nov","8",44.204,FALSE,275,"F"
"49","A","fam",6,3,"fam","8",38.225,FALSE,275,"F"
"50","A","test",6,3,"fam","8",2.405,FALSE,275,"F"
"51","A","test",7,2,"fam","0",22.259,FALSE,320,"M"
"52","A","test",7,4,"fam","0",7.36,FALSE,320,"M"
"53","A","fam",7,5,"nov","4",15.368,FALSE,320,"M"
"54","A","test",7,5,"nov","4",5.643,FALSE,320,"M"
"55","A","fam",7,6,"fam","4",8.33,FALSE,320,"M"
"56","A","test",7,6,"fam","4",8.013,FALSE,320,"M"
"57","A","fam",7,1,"nov","8",38.006,FALSE,320,"M"
"58","A","test",7,1,"nov","8",15.07,FALSE,320,"M"
"59","A","fam",7,3,"fam","8",23.633,FALSE,320,"M"
"60","A","test",7,3,"fam","8",0.594000000000001,TRUE,320,"M"
"61","A","test",8,1,"fam","0",33.645,FALSE,273,"M"
"62","A","test",8,2,"fam","0",23.019,FALSE,273,"M"
"63","A","fam",8,4,"fam","4",18.689,FALSE,273,"M"
"64","A","test",8,4,"fam","4",32.374,FALSE,273,"M"
"65","A","fam",8,6,"nov","4",10.434,FALSE,273,"M"
"66","A","test",8,6,"nov","4",12.712,FALSE,273,"M"
"67","A","fam",8,3,"nov","8",30.822,FALSE,273,"M"
"68","A","test",8,3,"nov","8",38.008,FALSE,273,"M"
"69","A","fam",8,5,"fam","8",34.32,FALSE,273,"M"
"70","A","test",8,5,"fam","8",40.449,FALSE,273,"M"
"71","A","test",9,1,"fam","0",26.735,FALSE,283,"M"
"72","A","test",9,3,"fam","0",9.62899999999999,FALSE,283,"M"
