subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,half
SS1614809227590,0,complex_dissimilar,1,background,background,complex,complex_09_B,5705.365000059828,first half
SS1614809227590,0,complex_dissimilar,2,background,background,complex,complex_09_B,4844.709999975748,first half
SS1614809227590,0,complex_dissimilar,3,background,background,complex,complex_09_B,3808.3150000311434,first half
SS1614809227590,0,complex_dissimilar,4,background,background,complex,complex_09_B,4393.739999970421,first half
SS1614809227590,0,complex_dissimilar,5,background,background,complex,complex_09_B,1478.3649999881163,first half
SS1614809227590,0,complex_dissimilar,6,background,background,complex,complex_09_B,2849.3550000712276,first half
SS1614809227590,1,simple_similar,1,background,background,simple,simple_18_B,3175.2949999645352,first half
SS1614809227590,1,simple_similar,2,background,background,simple,simple_18_B,1164.18999992311,first half
SS1614809227590,1,simple_similar,3,similar deviant,deviant,simple,simple_18_A,3057.5800000224262,first half
SS1614809227590,1,simple_similar,4,background,background,simple,simple_18_B,3281.2999999150634,first half
SS1614809227590,1,simple_similar,5,background,background,simple,simple_18_B,3434.275000006892,first half
SS1614809227590,1,simple_similar,6,similar deviant,deviant,simple,simple_18_A,4468.650000053458,first half
SS1614809227590,2,simple_similar,1,background,background,simple,simple_01_A,4749.214999959804,first half
SS1614809227590,2,simple_similar,2,background,background,simple,simple_01_A,4044.1450000507757,first half
SS1614809227590,2,simple_similar,3,background,background,simple,simple_01_A,3165.7150000100955,first half
SS1614809227590,2,simple_similar,4,background,background,simple,simple_01_A,6061.4000000059605,first half
SS1614809227590,3,complex_similar,1,background,background,complex,complex_08_B,2725.274999975227,first half
SS1614809227590,3,complex_similar,2,background,background,complex,complex_08_B,2027.6050000684336,first half
SS1614809227590,3,complex_similar,3,background,background,complex,complex_08_B,914.1750000417233,first half
SS1614809227590,3,complex_similar,4,background,background,complex,complex_08_B,1871.3250000728294,first half
SS1614809227590,3,complex_similar,5,background,background,complex,complex_08_B,1983.39000006672,first half
SS1614809227590,3,complex_similar,6,background,background,complex,complex_08_B,2057.574999984354,first half
SS1614809227590,3,complex_similar,7,similar deviant,deviant,complex,complex_08_A,1736.200000043027,first half
SS1614809227590,4,complex_dissimilar,1,background,background,complex,complex_04_A,3486.5950000239536,first half
SS1614809227590,4,complex_dissimilar,2,background,background,complex,complex_04_A,6993.654999998398,first half
SS1614809227590,4,complex_dissimilar,3,background,background,complex,complex_04_A,1346.6450000414625,first half
SS1614809227590,4,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_18_B,5873.3200000133365,first half
SS1614809227590,4,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_18_B,1271.7699999921024,first half
SS1614809227590,4,complex_dissimilar,6,background,background,complex,complex_04_A,2333.1050000851974,first half
SS1614809227590,5,simple_dissimilar,1,background,background,simple,simple_07_B,2443.5250000096858,first half
SS1614809227590,5,simple_dissimilar,2,background,background,simple,simple_07_B,1621.1650000186637,first half
SS1614809227590,5,simple_dissimilar,3,background,background,simple,simple_07_B,2146.145000006072,first half
SS1614809227590,5,simple_dissimilar,4,background,background,simple,simple_07_B,1661.1350000603124,first half
SS1614809227590,5,simple_dissimilar,5,background,background,simple,simple_07_B,1847.550000064075,first half
SS1614809227590,5,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_19_B,3250.1700000138953,first half
SS1614809227590,6,simple_dissimilar,1,background,background,simple,simple_04_A,3749.485000036657,second half
SS1614809227590,6,simple_dissimilar,2,background,background,simple,simple_04_A,1199.1449999623,second half
SS1614809227590,6,simple_dissimilar,3,background,background,simple,simple_04_A,1933.6599999805912,second half
SS1614809227590,6,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_17_B,5239.585000090301,second half
SS1614809227590,6,simple_dissimilar,5,background,background,simple,simple_04_A,865.3400000184774,second half
SS1614809227590,7,simple_dissimilar,1,background,background,simple,simple_19_A,1865.2599999913946,second half
SS1614809227590,7,simple_dissimilar,2,background,background,simple,simple_19_A,1586.479999939911,second half
SS1614809227590,7,simple_dissimilar,3,background,background,simple,simple_19_A,654.1649999562651,second half
SS1614809227590,7,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_08_B,3318.085000035353,second half
SS1614809227590,7,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_08_B,1517.4400000832975,second half
SS1614809227590,8,complex_similar,1,background,background,complex,complex_19_B,1223.1250000186265,second half
SS1614809227590,8,complex_similar,2,background,background,complex,complex_19_B,1212.0799999684095,second half
SS1614809227590,8,complex_similar,3,similar deviant,deviant,complex,complex_19_A,3328.459999989718,second half
SS1614809227590,8,complex_similar,4,background,background,complex,complex_19_B,1259.0799999888986,second half
SS1614809227590,9,complex_dissimilar,1,background,background,complex,complex_17_B,1178.0799999833107,second half
SS1614809227590,9,complex_dissimilar,2,background,background,complex,complex_17_B,1163.2599999429658,second half
SS1614809227590,9,complex_dissimilar,3,background,background,complex,complex_17_B,1309.0350000420585,second half
SS1614809227590,9,complex_dissimilar,4,background,background,complex,complex_17_B,1301.0200000135228,second half
SS1614809227590,9,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_13_B,1610.5449999449775,second half
SS1614809227590,10,complex_similar,1,background,background,complex,complex_15_B,3074.0249999798834,second half
SS1614809227590,10,complex_similar,2,background,background,complex,complex_15_B,695.0400000205263,second half
SS1614809227590,10,complex_similar,3,similar deviant,deviant,complex,complex_15_A,809.5399999292567,second half
SS1614809227590,10,complex_similar,4,background,background,complex,complex_15_B,1003.1099999323487,second half
SS1614809227590,10,complex_similar,5,background,background,complex,complex_15_B,719.0450000343844,second half
SS1614809227590,10,complex_similar,6,similar deviant,deviant,complex,complex_15_A,352.04499994870275,second half
SS1614809227590,11,simple_similar,1,background,background,simple,simple_15_A,766.8900000862777,second half
SS1614809227590,11,simple_similar,2,background,background,simple,simple_15_A,513.0050000734627,second half
SS1614809227590,11,simple_similar,3,similar deviant,deviant,simple,simple_15_B,441.03999994695187,second half
SS1614809227590,11,simple_similar,4,background,background,simple,simple_15_A,98.05999998934567,second half
SS1614809227590,11,simple_similar,5,background,background,simple,simple_15_A,939.3900000723079,second half
SS1614809230494,0,complex_dissimilar,1,background,background,complex,complex_12_B,6390.58499969542,first half
SS1614809230494,0,complex_dissimilar,2,background,background,complex,complex_12_B,4094.8449997231364,first half
SS1614809230494,0,complex_dissimilar,3,background,background,complex,complex_12_B,4550.284999422729,first half
SS1614809230494,0,complex_dissimilar,4,background,background,complex,complex_12_B,3946.6700004413724,first half
SS1614809230494,0,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_16_B,6421.5900003910065,first half
SS1614809230494,1,simple_similar,1,background,background,simple,simple_12_A,1187.2850004583597,first half
SS1614809230494,1,simple_similar,2,background,background,simple,simple_12_A,1194.395000115037,first half
SS1614809230494,1,simple_similar,3,background,background,simple,simple_12_A,1905.850000679493,first half
SS1614809230494,1,simple_similar,4,background,background,simple,simple_12_A,88.84500060230494,first half
SS1614809230494,1,simple_similar,5,background,background,simple,simple_12_A,1605.2450006827712,first half
SS1614809230494,2,simple_similar,1,background,background,simple,simple_13_A,4360.2200001478195,first half
SS1614809230494,2,simple_similar,2,background,background,simple,simple_13_A,1501.2150006368756,first half
SS1614809230494,2,simple_similar,3,background,background,simple,simple_13_A,878.3050002530217,first half
SS1614809230494,2,simple_similar,4,background,background,simple,simple_13_A,195.60000021010637,first half
SS1614809230494,2,simple_similar,5,background,background,simple,simple_13_A,361.9699999690056,first half
SS1614809230494,2,simple_similar,6,background,background,simple,simple_13_A,138.96500039845705,first half
SS1614809230494,3,complex_similar,1,background,background,complex,complex_18_A,8986.19999922812,first half
SS1614809230494,3,complex_similar,2,background,background,complex,complex_18_A,3723.159999586642,first half
SS1614809230494,3,complex_similar,3,background,background,complex,complex_18_A,3904.4199995696545,first half
SS1614809230494,3,complex_similar,4,background,background,complex,complex_18_A,2132.829999551177,first half
SS1614809230494,4,complex_similar,1,background,background,complex,complex_07_B,9547.010000795126,first half
SS1614809230494,4,complex_similar,2,similar deviant,deviant,complex,complex_07_A,2386.269999668002,first half
SS1614809230494,4,complex_similar,3,background,background,complex,complex_07_B,1078.2150002196431,first half
SS1614809230494,4,complex_similar,4,similar deviant,deviant,complex,complex_07_A,3919.145000167191,first half
SS1614809230494,4,complex_similar,5,background,background,complex,complex_07_B,3967.9199997335672,first half
SS1614809230494,5,simple_dissimilar,1,background,background,simple,simple_18_B,3916.9200006872416,first half
SS1614809230494,5,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_08_B,3144.425000064075,first half
SS1614809230494,5,simple_dissimilar,3,background,background,simple,simple_18_B,3756.1450004577637,first half
SS1614809230494,5,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_08_B,2632.900000549853,first half
SS1614809230494,6,complex_dissimilar,1,background,background,complex,complex_06_B,7548.975000157952,second half
SS1614809230494,6,complex_dissimilar,2,background,background,complex,complex_06_B,2592.810000292957,second half
SS1614809230494,6,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_14_B,4260.230000130832,second half
SS1614809230494,6,complex_dissimilar,4,background,background,complex,complex_06_B,2159.9949998781085,second half
SS1614809230494,7,simple_similar,1,background,background,simple,simple_20_B,3076.905000023544,second half
SS1614809230494,7,simple_similar,2,similar deviant,deviant,simple,simple_20_A,2085.8599999919534,second half
SS1614809230494,7,simple_similar,3,similar deviant,deviant,simple,simple_20_A,792.6149992272258,second half
SS1614809230494,7,simple_similar,4,background,background,simple,simple_20_B,1297.1200002357364,second half
SS1614809230494,8,simple_dissimilar,1,background,background,simple,simple_11_B,2806.425000540912,second half
SS1614809230494,8,simple_dissimilar,2,background,background,simple,simple_11_B,3375.905000604689,second half
SS1614809230494,8,simple_dissimilar,3,background,background,simple,simple_11_B,3794.034999795258,second half
SS1614809230494,8,simple_dissimilar,4,background,background,simple,simple_11_B,2039.1549998894334,second half
SS1614809230494,8,simple_dissimilar,5,background,background,simple,simple_11_B,2330.900000408292,second half
SS1614809230494,8,simple_dissimilar,6,background,background,simple,simple_11_B,2296.3749999180436,second half
SS1614809230494,8,simple_dissimilar,7,dissimilar deviant,deviant,simple,simple_02_B,5148.60500022769,second half
SS1614809230494,9,simple_dissimilar,1,background,background,simple,simple_10_A,2830.2899999544024,second half
SS1614809230494,9,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_11_A,2240.9800002351403,second half
SS1614809230494,9,simple_dissimilar,3,background,background,simple,simple_10_A,2941.5749991312623,second half
SS1614809230494,9,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_11_A,3882.3549998924136,second half
SS1614809230494,9,simple_dissimilar,5,background,background,simple,simple_10_A,4682.634999975562,second half
SS1614809230494,10,complex_dissimilar,1,background,background,complex,complex_13_A,6562.0799995958805,second half
SS1614809230494,10,complex_dissimilar,2,background,background,complex,complex_13_A,5055.060000158846,second half
SS1614809230494,10,complex_dissimilar,3,background,background,complex,complex_13_A,5643.509999848902,second half
SS1614809230494,10,complex_dissimilar,4,background,background,complex,complex_13_A,7594.159999862313,second half
SS1614809230494,10,complex_dissimilar,5,background,background,complex,complex_13_A,488.0899991840124,second half
SS1614809230494,11,complex_similar,1,background,background,complex,complex_11_B,4174.045000225306,second half
SS1614809230494,11,complex_similar,2,background,background,complex,complex_11_B,4104.975000023842,second half
SS1614809230494,11,complex_similar,3,background,background,complex,complex_11_B,4692.210000008345,second half
SS1614809230494,11,complex_similar,4,similar deviant,deviant,complex,complex_11_A,2905.7299997657537,second half
SS1614809230494,11,complex_similar,5,similar deviant,deviant,complex,complex_11_A,3621.174999512732,second half
SS1614809230494,11,complex_similar,6,background,background,complex,complex_11_B,4480.535000562668,second half
SS1614809233708,0,simple_dissimilar,1,background,background,simple,simple_03_B,4110.954999981914,first half
SS1614809233708,0,simple_dissimilar,2,background,background,simple,simple_03_B,2338.500000012573,first half
SS1614809233708,0,simple_dissimilar,3,background,background,simple,simple_03_B,4986.014999973122,first half
SS1614809233708,0,simple_dissimilar,4,background,background,simple,simple_03_B,3639.6550000063144,first half
SS1614809233708,0,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_02_A,5529.98499997193,first half
SS1614809233708,0,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_02_A,6561.920000007376,first half
SS1614809233708,1,complex_dissimilar,1,background,background,complex,complex_03_B,3498.0450000148267,first half
SS1614809233708,1,complex_dissimilar,2,background,background,complex,complex_03_B,3363.8300000457093,first half
