subject,question_type,stimulus_left,stimulus_right,rating
SS1618006284382,similarity,images/stimuli/spore_stims/complex_16_A_b.gif,images/stimuli/spore_stims/complex_12_A_a.gif,0
SS1618006284382,similarity,images/stimuli/spore_stims/simple_04_A_a.gif,images/stimuli/spore_stims/simple_09_A_b.gif,2
SS1618006284382,similarity,images/stimuli/spore_stims/simple_10_A_b.gif,images/stimuli/spore_stims/simple_03_A_a.gif,4
SS1618006284382,similarity,images/stimuli/spore_stims/simple_01_A_b.gif,images/stimuli/spore_stims/simple_15_A_a.gif,5
SS1618006284382,similarity,images/stimuli/spore_stims/complex_11_A_a.gif,images/stimuli/spore_stims/complex_01_A_b.gif,0
SS1618006284382,similarity,images/stimuli/spore_stims/complex_19_A_b.gif,images/stimuli/spore_stims/complex_08_A_a.gif,0
SS1618006284382,similarity,images/stimuli/spore_stims/complex_05_A_a.gif,images/stimuli/spore_stims/complex_09_A_b.gif,0
SS1618006284382,similarity,images/stimuli/spore_stims/simple_04_A_b.gif,images/stimuli/spore_stims/simple_12_A_a.gif,4
SS1618006284382,similarity,images/stimuli/spore_stims/simple_18_A_a.gif,images/stimuli/spore_stims/simple_06_A_b.gif,2
SS1618006284382,similarity,images/stimuli/spore_stims/simple_20_A_a.gif,images/stimuli/spore_stims/simple_07_A_b.gif,1
SS1618006284382,similarity,images/stimuli/spore_stims/complex_05_A_b.gif,images/stimuli/spore_stims/complex_02_A_a.gif,0
SS1618006284382,similarity,images/stimuli/spore_stims/complex_08_A_b.gif,images/stimuli/spore_stims/complex_17_A_a.gif,1
SS1618006292839,similarity,images/stimuli/spore_stims/simple_05_A_a.gif,images/stimuli/spore_stims/simple_07_A_b.gif,2
SS1618006292839,similarity,images/stimuli/spore_stims/simple_02_A_b.gif,images/stimuli/spore_stims/simple_11_A_a.gif,4
SS1618006292839,similarity,images/stimuli/spore_stims/simple_13_A_b.gif,images/stimuli/spore_stims/simple_15_A_a.gif,5
SS1618006292839,similarity,images/stimuli/spore_stims/complex_05_A_b.gif,images/stimuli/spore_stims/complex_11_A_a.gif,0
SS1618006292839,similarity,images/stimuli/spore_stims/complex_04_A_b.gif,images/stimuli/spore_stims/complex_20_A_a.gif,2
SS1618006292839,similarity,images/stimuli/spore_stims/simple_12_A_a.gif,images/stimuli/spore_stims/simple_06_A_b.gif,5
SS1618006292839,similarity,images/stimuli/spore_stims/complex_11_A_b.gif,images/stimuli/spore_stims/complex_13_A_a.gif,2
SS1618006292839,similarity,images/stimuli/spore_stims/simple_08_A_b.gif,images/stimuli/spore_stims/simple_04_A_a.gif,3
SS1618006292839,similarity,images/stimuli/spore_stims/complex_01_A_b.gif,images/stimuli/spore_stims/complex_05_A_a.gif,4
SS1618006292839,similarity,images/stimuli/spore_stims/complex_15_A_a.gif,images/stimuli/spore_stims/complex_19_A_b.gif,1
SS1618006292839,similarity,images/stimuli/spore_stims/simple_20_A_b.gif,images/stimuli/spore_stims/simple_13_A_a.gif,3
SS1618006292839,similarity,images/stimuli/spore_stims/complex_02_A_b.gif,images/stimuli/spore_stims/complex_04_A_a.gif,0
SS1618006392203,similarity,images/stimuli/spore_stims/simple_16_A_b.gif,images/stimuli/spore_stims/simple_07_A_a.gif,4
SS1618006392203,similarity,images/stimuli/spore_stims/complex_12_A_a.gif,images/stimuli/spore_stims/complex_10_A_b.gif,1
SS1618006392203,similarity,images/stimuli/spore_stims/simple_14_A_a.gif,images/stimuli/spore_stims/simple_09_A_b.gif,5
SS1618006392203,similarity,images/stimuli/spore_stims/simple_05_A_b.gif,images/stimuli/spore_stims/simple_04_A_a.gif,5
SS1618006392203,similarity,images/stimuli/spore_stims/complex_06_A_a.gif,images/stimuli/spore_stims/complex_11_A_b.gif,0
SS1618006392203,similarity,images/stimuli/spore_stims/complex_15_A_a.gif,images/stimuli/spore_stims/complex_20_A_b.gif,4
SS1618006392203,similarity,images/stimuli/spore_stims/complex_07_A_b.gif,images/stimuli/spore_stims/complex_04_A_a.gif,4
SS1618006392203,similarity,images/stimuli/spore_stims/simple_07_A_b.gif,images/stimuli/spore_stims/simple_15_A_a.gif,3
SS1618006392203,similarity,images/stimuli/spore_stims/complex_18_A_a.gif,images/stimuli/spore_stims/complex_19_A_b.gif,2
SS1618006392203,similarity,images/stimuli/spore_stims/simple_08_A_a.gif,images/stimuli/spore_stims/simple_02_A_b.gif,5
SS1618006392203,similarity,images/stimuli/spore_stims/simple_17_A_b.gif,images/stimuli/spore_stims/simple_01_A_a.gif,5
SS1618006392203,similarity,images/stimuli/spore_stims/complex_05_A_a.gif,images/stimuli/spore_stims/complex_02_A_b.gif,4
SS1618006425636,similarity,images/stimuli/spore_stims/simple_19_A_b.gif,images/stimuli/spore_stims/simple_14_A_a.gif,4
SS1618006425636,similarity,images/stimuli/spore_stims/complex_07_A_a.gif,images/stimuli/spore_stims/complex_19_A_b.gif,2
SS1618006425636,similarity,images/stimuli/spore_stims/simple_06_A_a.gif,images/stimuli/spore_stims/simple_01_A_b.gif,5
SS1618006425636,similarity,images/stimuli/spore_stims/simple_18_A_b.gif,images/stimuli/spore_stims/simple_05_A_a.gif,3
SS1618006425636,similarity,images/stimuli/spore_stims/simple_04_A_b.gif,images/stimuli/spore_stims/simple_01_A_a.gif,2
SS1618006425636,similarity,images/stimuli/spore_stims/complex_16_A_b.gif,images/stimuli/spore_stims/complex_02_A_a.gif,1
SS1618006425636,similarity,images/stimuli/spore_stims/complex_19_A_a.gif,images/stimuli/spore_stims/complex_03_A_b.gif,5
SS1618006425636,similarity,images/stimuli/spore_stims/simple_15_A_a.gif,images/stimuli/spore_stims/simple_17_A_b.gif,6
SS1618006425636,similarity,images/stimuli/spore_stims/complex_01_A_a.gif,images/stimuli/spore_stims/complex_13_A_b.gif,3
SS1618006425636,similarity,images/stimuli/spore_stims/complex_17_A_b.gif,images/stimuli/spore_stims/complex_05_A_a.gif,4
SS1618006425636,similarity,images/stimuli/spore_stims/simple_06_A_b.gif,images/stimuli/spore_stims/simple_11_A_a.gif,5
SS1618006425636,similarity,images/stimuli/spore_stims/complex_11_A_a.gif,images/stimuli/spore_stims/complex_10_A_b.gif,2
SS1618006451245,similarity,images/stimuli/spore_stims/simple_01_A_b.gif,images/stimuli/spore_stims/simple_07_A_a.gif,2
SS1618006451245,similarity,images/stimuli/spore_stims/simple_15_A_a.gif,images/stimuli/spore_stims/simple_04_A_b.gif,4
SS1618006451245,similarity,images/stimuli/spore_stims/complex_02_A_a.gif,images/stimuli/spore_stims/complex_06_A_b.gif,2
SS1618006451245,similarity,images/stimuli/spore_stims/simple_13_A_a.gif,images/stimuli/spore_stims/simple_05_A_b.gif,4
SS1618006451245,similarity,images/stimuli/spore_stims/complex_13_A_a.gif,images/stimuli/spore_stims/complex_09_A_b.gif,3
SS1618006451245,similarity,images/stimuli/spore_stims/complex_12_A_a.gif,images/stimuli/spore_stims/complex_02_A_b.gif,0
SS1618006451245,similarity,images/stimuli/spore_stims/simple_07_A_b.gif,images/stimuli/spore_stims/simple_03_A_a.gif,2
SS1618006451245,similarity,images/stimuli/spore_stims/complex_16_A_b.gif,images/stimuli/spore_stims/complex_15_A_a.gif,1
SS1618006451245,similarity,images/stimuli/spore_stims/complex_18_A_a.gif,images/stimuli/spore_stims/complex_11_A_b.gif,0
SS1618006451245,similarity,images/stimuli/spore_stims/simple_10_A_b.gif,images/stimuli/spore_stims/simple_09_A_a.gif,4
SS1618006451245,similarity,images/stimuli/spore_stims/simple_20_A_a.gif,images/stimuli/spore_stims/simple_13_A_b.gif,2
SS1618006451245,similarity,images/stimuli/spore_stims/complex_18_A_b.gif,images/stimuli/spore_stims/complex_07_A_a.gif,1
SS1618006483625,similarity,images/stimuli/spore_stims/simple_17_A_a.gif,images/stimuli/spore_stims/simple_19_A_b.gif,5
SS1618006483625,similarity,images/stimuli/spore_stims/simple_01_A_b.gif,images/stimuli/spore_stims/simple_06_A_a.gif,5
SS1618006483625,similarity,images/stimuli/spore_stims/simple_06_A_b.gif,images/stimuli/spore_stims/simple_07_A_a.gif,2
SS1618006483625,similarity,images/stimuli/spore_stims/complex_03_A_b.gif,images/stimuli/spore_stims/complex_17_A_a.gif,2
SS1618006483625,similarity,images/stimuli/spore_stims/simple_03_A_b.gif,images/stimuli/spore_stims/simple_12_A_a.gif,4
SS1618006483625,similarity,images/stimuli/spore_stims/simple_11_A_b.gif,images/stimuli/spore_stims/simple_02_A_a.gif,3
SS1618006483625,similarity,images/stimuli/spore_stims/complex_01_A_a.gif,images/stimuli/spore_stims/complex_10_A_b.gif,4
SS1618006483625,similarity,images/stimuli/spore_stims/complex_03_A_a.gif,images/stimuli/spore_stims/complex_09_A_b.gif,3
SS1618006483625,similarity,images/stimuli/spore_stims/simple_20_A_a.gif,images/stimuli/spore_stims/simple_17_A_b.gif,4
SS1618006483625,similarity,images/stimuli/spore_stims/complex_16_A_b.gif,images/stimuli/spore_stims/complex_19_A_a.gif,3
SS1618006483625,similarity,images/stimuli/spore_stims/complex_12_A_b.gif,images/stimuli/spore_stims/complex_09_A_a.gif,1
SS1618006483625,similarity,images/stimuli/spore_stims/complex_08_A_a.gif,images/stimuli/spore_stims/complex_02_A_b.gif,1
SS1618006498914,similarity,images/stimuli/spore_stims/complex_04_A_b.gif,images/stimuli/spore_stims/complex_11_A_a.gif,2
SS1618006498914,similarity,images/stimuli/spore_stims/simple_03_A_b.gif,images/stimuli/spore_stims/simple_16_A_a.gif,4
SS1618006498914,similarity,images/stimuli/spore_stims/simple_02_A_a.gif,images/stimuli/spore_stims/simple_07_A_b.gif,3
SS1618006498914,similarity,images/stimuli/spore_stims/complex_12_A_b.gif,images/stimuli/spore_stims/complex_07_A_a.gif,3
SS1618006498914,similarity,images/stimuli/spore_stims/complex_10_A_a.gif,images/stimuli/spore_stims/complex_14_A_b.gif,3
SS1618006498914,similarity,images/stimuli/spore_stims/simple_08_A_b.gif,images/stimuli/spore_stims/simple_17_A_a.gif,6
SS1618006498914,similarity,images/stimuli/spore_stims/complex_20_A_a.gif,images/stimuli/spore_stims/complex_18_A_b.gif,1
SS1618006498914,similarity,images/stimuli/spore_stims/complex_06_A_a.gif,images/stimuli/spore_stims/complex_03_A_b.gif,1
